Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,combined_text
Insulin Pump,DAN246,Danaher,2023-05-C,2022-01-27,Class I,NDA412861,Adult and Pediatric,Indicated for real-time heart rate assessment in emergency department triage protocols.,Not recommended for use in radiation therapy patients or those with sepsis.,,11,11,5.0,7.85,12.0,Device Name: Insulin Pump. Model: DAN246. Manufacturer: Danaher. Indications: Indicated for real-time heart rate assessment in emergency department triage protocols.. Contraindications: Not recommended for use in radiation therapy patients or those with sepsis..
Ventilator,Model 4428,Fresenius Medical Care,v8.4,2015-11-01,Class II,IDE380253,Adult,Intended for infection control evaluation in rehabilitation medicine for chronic conditions recovery.,Not recommended in presence of pulmonary edema or at infected areas locations.,Single-Use Sterile,25,13,8.0,69.53,26.0,Device Name: Ventilator. Model: Model 4428. Manufacturer: Fresenius Medical Care. Indications: Intended for infection control evaluation in rehabilitation medicine for chronic conditions recovery.. Contraindications: Not recommended in presence of pulmonary edema or at infected areas locations..
Surgical Robot,ABB102,Abbott,Version 10,2015-12-03,Class I,H394827,Pediatric,Intended for infection control therapy in intensive care unit environments for critically ill patients.,Not recommended for use in burn patients or those with epilepsy.,Hydrogen Peroxide Plasma,14,28,8.0,10.61,39.0,Device Name: Surgical Robot. Model: ABB102. Manufacturer: Abbott. Indications: Intended for infection control therapy in intensive care unit environments for critically ill patients.. Contraindications: Not recommended for use in burn patients or those with epilepsy..
Blood Pressure Monitor,Plus269,Dentsply Sirona,Rev. 8.7,2020-03-18,Class III,NDA972045,Adult and Pediatric,Indicated for emergency pulmonary function stabilization in trauma center resuscitation rooms.,Not recommended for patients with autoimmune disorders or severe peripheral vascular disease.,Pre-Sterilized,7,20,9.0,7.64,30.0,Device Name: Blood Pressure Monitor. Model: Plus269. Manufacturer: Dentsply Sirona. Indications: Indicated for emergency pulmonary function stabilization in trauma center resuscitation rooms.. Contraindications: Not recommended for patients with autoimmune disorders or severe peripheral vascular disease..
Pulse Oximeter,SYN478,Synthes,Rev. 10.9,2016-08-28,Class IIa,PMDA-850639,All,Used for emergency joint replacement in acute neurological disorders situations requiring immediate care.,Contraindicated in patients with thrombocytopenia or frostbite risk.,Ethylene Oxide (EtO),3,4,7.0,0.32,35.0,Device Name: Pulse Oximeter. Model: SYN478. Manufacturer: Synthes. Indications: Used for emergency joint replacement in acute neurological disorders situations requiring immediate care.. Contraindications: Contraindicated in patients with thrombocytopenia or frostbite risk..
Electrosurgical Unit,Model 3034,Cardinal Health,v7.6,2017-06-26,Class I,NMPA-597288,All,Used for emergency wound debridement in acute respiratory conditions situations requiring immediate care.,None,Gamma Irradiation,13,12,11.0,4.86,28.0,Device Name: Electrosurgical Unit. Model: Model 3034. Manufacturer: Cardinal Health. Indications: Used for emergency wound debridement in acute respiratory conditions situations requiring immediate care.. Contraindications: None.
Ultrasound Scanner,C-1799,Siemens Healthineers,2025-12-W,2024-05-15,Class III,MDR-578618,Pediatric,Indicated for diagnostic imaging to assess cardiac disorders in clinical environments.,Not recommended for use in terminally ill patients or those with pregnancy.,Steam Sterilization,2,11,3.0,3.71,21.0,Device Name: Ultrasound Scanner. Model: C-1799. Manufacturer: Siemens Healthineers. Indications: Indicated for diagnostic imaging to assess cardiac disorders in clinical environments.. Contraindications: Not recommended for use in terminally ill patients or those with pregnancy..
Wound Care System,Max748,BioMérieux,2020-03-Q,2016-03-24,Class IIb,,All,Intended for imaging guidance during minimally invasive ophthalmic procedures.,Avoid use in patients with pacemakers or altered cognitive function.,Ethylene Oxide (EtO),10,3,5.0,0.58,13.0,Device Name: Wound Care System. Model: Max748. Manufacturer: BioMérieux. Indications: Intended for imaging guidance during minimally invasive ophthalmic procedures.. Contraindications: Avoid use in patients with pacemakers or altered cognitive function..
Insulin Pump,SIE362,Siemens Healthineers,2022-01-K,2019-09-05,Class I,K568075,Adult (>65),Designed for defibrillation support in neonatal intensive care environments.,Contraindicated in patients with severe anemia or unable to follow instructions.,Chemical Sterilization,5,15,5.0,4.95,31.0,Device Name: Insulin Pump. Model: SIE362. Manufacturer: Siemens Healthineers. Indications: Designed for defibrillation support in neonatal intensive care environments.. Contraindications: Contraindicated in patients with severe anemia or unable to follow instructions..
Defibrillator,B. 342,B. Braun,v6.4,2025-06-13,Class I,HDE754875,Pediatric (2-18),Used for intraoperative infection prevention monitoring during complex ophthalmic surgeries.,Avoid use in patients with severe cardiac arrhythmias or severe severe osteoporosis.,Pre-Sterilized,23,23,14.0,13.48,35.0,Device Name: Defibrillator. Model: B. 342. Manufacturer: B. Braun. Indications: Used for intraoperative infection prevention monitoring during complex ophthalmic surgeries.. Contraindications: Avoid use in patients with severe cardiac arrhythmias or severe severe osteoporosis..
